交易日期,收盘价,年干支,月干支,日干支,收益率,天干,地支,五行_干,五行_支,月,周,年月
2010-01-05,3282.179,己丑,丁丑,乙卯,0.011843971193923108,乙,卯,木,木,1,1,2010-01
2010-01-06,3254.215,己丑,丁丑,丙辰,-0.008519949704144714,丙,辰,火,土,1,1,2010-01
2010-01-07,3192.776,己丑,丁丑,丁巳,-0.0188798220154478,丁,巳,火,火,1,1,2010-01
2010-01-08,3195.997,己丑,丁丑,戊午,0.0010088399562011574,戊,午,土,火,1,1,2010-01
2010-01-11,3212.75,己丑,丁丑,辛酉,0.005241869751442252,辛,酉,金,金,1,2,2010-01
2010-01-12,3273.966,己丑,丁丑,壬戌,0.019054081394443978,壬,戌,水,土,1,2,2010-01
2010-01-13,3172.658,己丑,丁丑,癸亥,-0.030943510103648042,癸,亥,水,水,1,2,2010-01
2010-01-14,3215.55,己丑,丁丑,甲子,0.013519263658421599,甲,子,木,水,1,2,2010-01
2010-01-15,3224.152,己丑,丁丑,乙丑,0.002675125561723446,乙,丑,木,土,1,2,2010-01
2010-01-18,3237.098,己丑,丁丑,戊辰,0.004015319377002058,戊,辰,土,土,1,3,2010-01
2010-01-19,3246.874,己丑,丁丑,己巳,0.0030199888912847417,己,巳,土,火,1,3,2010-01
2010-01-20,3151.85,己丑,丁丑,庚午,-0.029266303527639148,庚,午,金,火,1,3,2010-01
2010-01-21,3158.863,己丑,丁丑,辛未,0.0022250424353951193,辛,未,金,土,1,3,2010-01
2010-01-22,3128.588,己丑,丁丑,壬申,-0.009584144674840145,壬,申,水,金,1,3,2010-01
2010-01-25,3094.411,己丑,丁丑,乙亥,-0.010924097388342657,乙,亥,木,水,1,4,2010-01
2010-01-26,3019.394,己丑,丁丑,丙子,-0.024242739571440297,丙,子,火,水,1,4,2010-01
2010-01-27,2986.607,己丑,丁丑,丁丑,-0.010858801468109136,丁,丑,火,土,1,4,2010-01
2010-01-28,2994.143,己丑,丁丑,戊寅,0.0025232646946853343,戊,寅,土,木,1,4,2010-01
2010-01-29,2989.292,己丑,丁丑,己卯,-0.0016201630984225002,己,卯,土,木,1,4,2010-01
2010-02-01,2941.36,己丑,丁丑,壬午,-0.016034566044401122,壬,午,水,火,2,5,2010-02
2010-02-02,2934.713,己丑,丁丑,癸未,-0.0022598389860472023,癸,未,水,土,2,5,2010-02
2010-02-03,3003.835,己丑,丁丑,甲申,0.023553240129443598,甲,申,木,金,2,5,2010-02
2010-02-04,2995.308,庚寅,戊寅,乙酉,-0.002838704522718505,乙,酉,木,金,2,5,2010-02
2010-02-05,2939.402,庚寅,戊寅,丙戌,-0.018664524649885772,丙,戌,火,土,2,5,2010-02
2010-02-08,2935.174,庚寅,戊寅,己丑,-0.0014383878081324353,己,丑,土,土,2,6,2010-02
2010-02-09,2948.842,庚寅,戊寅,庚寅,0.0046566234233473836,庚,寅,金,木,2,6,2010-02
2010-02-10,2982.5,庚寅,戊寅,辛卯,0.011413971993073924,辛,卯,金,木,2,6,2010-02
2010-02-11,2985.499,庚寅,戊寅,壬辰,0.0010055322715840642,壬,辰,水,土,2,6,2010-02
2010-02-12,3018.133,庚寅,戊寅,癸巳,0.01093083601769762,癸,巳,水,火,2,6,2010-02
2010-02-22,3003.398,庚寅,戊寅,癸卯,-0.004882157280676425,癸,卯,水,木,2,8,2010-02
2010-02-23,2982.575,庚寅,戊寅,甲辰,-0.006933147055435351,甲,辰,木,土,2,8,2010-02
2010-02-24,3022.177,庚寅,戊寅,乙巳,0.013277788488135434,乙,巳,木,火,2,8,2010-02
2010-02-25,3060.618,庚寅,戊寅,丙午,0.012719638856360849,丙,午,火,火,2,8,2010-02
2010-02-26,3051.943,庚寅,戊寅,丁未,-0.002834394883647562,丁,未,火,土,2,8,2010-02
2010-03-01,3087.842,庚寅,戊寅,庚戌,0.01176267053480351,庚,戌,金,土,3,9,2010-03
2010-03-02,3073.108,庚寅,戊寅,辛亥,-0.004771617200621026,辛,亥,金,水,3,9,2010-03
2010-03-03,3097.005,庚寅,戊寅,壬子,0.0077761666690530085,壬,子,水,水,3,9,2010-03
2010-03-04,3023.373,庚寅,戊寅,癸丑,-0.02377522800253795,癸,丑,水,土,3,9,2010-03
2010-03-05,3031.065,庚寅,戊寅,甲寅,0.0025441783068116397,甲,寅,木,木,3,9,2010-03
2010-03-08,3053.232,庚寅,己卯,丁巳,0.007313271077987515,丁,巳,火,火,3,10,2010-03
2010-03-09,3069.141,庚寅,己卯,戊午,0.0052105441053940105,戊,午,土,火,3,10,2010-03
2010-03-10,3048.927,庚寅,己卯,己未,-0.006586207671788302,己,未,土,土,3,10,2010-03
2010-03-11,3051.282,庚寅,己卯,庚申,0.0007724028814071193,庚,申,金,金,3,10,2010-03
